AddressGUID,AddressID,Region,State_Province,City,PostalCode,CustomerGUID
7589ebad-3d13-4590-8c41-3b539607a503,1,Central,Illinois,Addison,60101,7904e29e-6919-454f-b9ba-fe674ce5b687
5b380529-aef3-48db-99f3-f75dc07ff3d3,2,West,Washington,Anacortes,98221,8b604a0b-6dd9-4917-b8eb-17796b5df01c
8a330dfe-047b-4b2f-be74-9acc2f2788ef,3,West,California,San Gabriel,91776,e41639be-d7e0-4c28-b2a7-b01ab9d5b1a7
91166e46-75a9-4810-a28e-2309f91adfe1,4,West,California,San Jose,95123,46d35493-8007-4a8f-bd15-c7df0f18f43e
cf09dd01-24b4-4eef-9027-db73b8f1fa07,5,East,Massachusetts,Fall River,2724,e540578a-b94d-4427-a588-0e611f39d1e8
1dce1479-9580-4869-a1fc-3cee3f3ca7ac,6,East,New Hampshire,Bedford,3110,8b9654a2-d134-429e-adce-2d67e2d06a03
195263d5-220d-4f3d-9793-03dae7650c45,7,East,New Jersey,Camden,8101,7e011538-b0d3-423b-8f13-254c2b10becd
9350ac23-96a5-40a5-a088-7e13218cc1e5,8,East,New Jersey,Pennsauken,8109,ff9f769b-92c5-4f72-982e-e4e60b29a30f
bb1f0763-ab06-45b0-9330-13bacbb51137,9,East,New Jersey,Roselle,7203,d8eb2b26-75b9-483f-a20d-403565d35623
3e50cf10-239b-4590-9389-b872ebdfed54,10,East,Rhode Island,Cranston,2907,b30d2c24-0838-45dc-aec2-2ebd29d208c6
b6f42f04-5659-432e-a82d-a45c43dc99f2,11,Central,Minnesota,Prior Lake,55372,2573f8e3-5f43-44c1-bf57-53939e2c3f09
599b1b13-5d9d-48cc-81f4-f8fb3599b368,12,East,New York,Smithtown,11787,8e362b1f-b7fa-4fc9-99a3-a102e8b64f15
48c9508c-07d4-468e-8d63-079eb7fff1d6,13,East,New York,Syracuse,13210,6cb0e32a-b56f-4234-b33f-f23511bda9cd
09763aeb-fa8a-436e-8078-a6637a8a381f,14,West,Montana,Great Falls,59405,c7ffb742-928c-42d8-83f0-29620e44fbb9
24e46c2b-ac99-45ce-ab95-5b5e944209cb,15,West,Montana,Helena,59601,08f2f6ac-455f-44eb-b062-5cb03fd7325d
b1c48dac-ad16-4a5d-92bf-355d3670e7fb,16,West,Montana,Missoula,59801,8860bdd4-3bef-4b7a-8699-753b9c90d6df
c0198a0c-611f-454e-bf35-7af7c827ce94,17,Central,Nebraska,Bellevue,68005,3d638bc1-55ba-4771-9344-a8ec7e9a09ee
b1a02404-21c4-4a69-8d9f-e464e42ec8f1,18,East,New York,New York City,10012,bfc6fd22-8c94-4d22-84eb-4cbed99d0f8a
974c06ef-9825-4aa0-b754-11542a3af660,19,West,California,Laguna Hills,92653,af63373e-7611-4977-84f7-7f4b6e5d5c41
1308fdbc-74ad-4be2-ba27-44d1fed31160,20,West,California,Laguna Niguel,92677,d656ba7d-f04e-49a5-8441-b44a15dfd6b8
d11501d9-ac10-488d-b2d8-81ffbd4809b1,21,West,California,Lake Elsinore,92530,8e0ad6fb-fd25-45e6-8f48-ae34a2c7f807
d854324d-51b4-449d-8808-fc79b5de80b2,22,West,California,Lake Forest,92630,07ae1006-34e1-4691-af96-11c4885839a2
e3a20e1d-e03c-4d69-bc5c-0a26c6412261,23,West,California,Lakewood,90712,3e1c0456-6356-42cc-bfec-85ec6fe57010
cfb5b1c0-eb42-408c-b1ce-c5c1b892974b,24,West,California,Lancaster,93534,274484ff-9445-45f2-b677-a6411f28a147
f12f092b-fd31-4575-aa81-d1f94fc779f0,25,West,California,Lawndale,90260,b81e624e-d25c-41de-a62d-580d5a02aa06
c67c6bbc-07f1-4160-a01c-71f2a9f76fa3,26,West,Oregon,Eugene,97405,e059b72d-c37d-4160-8eba-75df2d10fe62
11d11676-ae7f-4381-a81f-c9fd42553ef6,27,West,Oregon,Grants Pass,97526,84720351-c5e6-4d8e-8fb4-3516934e372b
02247289-7c6a-4217-abf5-2212c0e225d5,28,West,Oregon,Gresham,97030,79108543-5015-44f0-98ca-2637f2dea749
f7a74da1-84ee-4318-8225-7f106e2a960c,29,West,Oregon,Gresham,97030,cab55799-8957-417b-9c60-4e762b40a79c
8f65372b-1f80-4dc5-b1e4-203c710e157d,30,West,Oregon,Hillsboro,97123,e6d0fa95-9e59-47f0-89f7-6aac0682a532
075cecd8-e95f-49d1-9473-04d90f9d0090,31,West,Oregon,Keizer,97303,13252fc8-f27b-46c8-a4bf-fa7f8971fbd2
e50f39f7-5e63-460a-b69f-c088c964e86e,32,Central,Illinois,Alton,62002,4f85108b-46ec-468c-806f-852ab751e591
7e60b30b-8b4a-4682-bea1-f138d9e01427,33,West,Washington,Anacortes,98221,06b3e7fd-a7b8-4de4-ba5e-f773ee2d472d
e41b5382-f5d7-4cb1-b807-c4a5ee6df946,34,West,Washington,Puyallup,98373,c70b28f6-7872-47eb-9522-d43b584f68e4
f274b22a-c282-4823-b023-5d30a5eafdaf,35,West,Washington,Redmond,98052,952b7e89-c665-4fb5-b4be-dfacff1fe086
4658cfbc-42af-4cee-b212-e8ca6d7fbb19,36,Central,Texas,Coppell,75019,24f4e3c5-0f4a-4120-97b9-60dde894360d
c0764e13-0c41-41bb-9364-ca77950cecf1,37,South,Virginia,Colonial Heights,23834,0956fbee-9826-4015-bb25-46841a5f795b
9a00e4cc-84f1-49c2-9686-a29b3c11f948,38,Central,Illinois,Springfield,62701,57326756-3f42-4f7c-aeaf-22ade67c0a52
c67fb2fd-ff65-4567-8af3-440a0947552f,39,Central,Illinois,Streamwood,60107,9f62c1a8-62cd-4ae9-b0e1-4f4826074321
b2749e13-6360-4e05-b92e-a96e763d41ac,40,Central,Illinois,Tinley Park,60477,295bf1b6-f8d5-4035-a82e-0262895cf453
911d2916-6a66-41d8-a665-92e2f0559a3d,41,West,Washington,Puyallup,98373,471972bf-5a92-431f-9478-72b94ad3d5dc
34618cd7-06d7-4a18-868c-1ce39a7ccbeb,42,West,Washington,Redmond,98052,5460127f-0b72-4898-be81-37a70dfdbe51
96053bd7-bc87-4fd4-93ff-349960d85d3b,43,East,New York,Syracuse,13210,454c7687-34e3-49ec-803b-4855a927c9db
7a58b770-ba24-4fcf-ba69-9339402dceb7,44,East,New York,Tonawanda,14150,6b179c27-15ca-410b-aa5d-70d5c8727e19
b3d29927-8010-424c-b06d-e62050636846,45,East,New York,Troy,12180,e7c8f322-07e7-4c40-a388-3c34951bbbb3
8914f8b0-bdbf-4302-9b5f-ac8c0ddbcff1,46,Central,Texas,Port Arthur,77642,bea35343-fe91-4e40-a8b9-4544b5d7edce
d5bf4c4a-facc-41d6-aa13-c4953d7a7029,47,Central,Texas,Richardson,75080,ba33c50e-60fb-482f-97df-f56be581bda4
852b6b6c-1698-4efb-b868-8e8a8c770168,48,Central,Texas,Rosenberg,77471,5ac5b8ff-58e5-4979-89d9-e33ba99f648d
9da76ad2-e6f3-4f6a-9f99-1d488e8fa8c9,49,Central,Texas,Round Rock,78664,9dd2b483-7ea3-4eb7-b118-7b48d1799051
5941d22f-5197-4672-bf7b-8e316113f22b,50,Central,Texas,Rowlett,75088,11662e22-b414-427e-8132-45372238f51f
