OrderGUID,OrderID,DateOrdered,Priority,CustomerGUID,ShippingGUID,ProductGUID
6b82c529-a2eb-4efc-81ba-6ff211f6fa13,1,2012-05-28,Not Specified,7904e29e-6919-454f-b9ba-fe674ce5b687,a70b7dce-8c66-4c6b-ae3f-dbf9461afb56,a828de89-cc82-45d4-bf6e-a5b176032f59
5990b4b3-01f7-42e2-bfc0-9e82c7fddbee,2,2010-07-07,High,8b604a0b-6dd9-4917-b8eb-17796b5df01c,469561a8-4a8d-428a-b669-0760b4a5a459,4ae74995-1034-481b-813d-ead1c7292f94
154cb7c0-b515-4b1f-86e0-aa29d1c06d16,3,2011-07-27,Not Specified,8b604a0b-6dd9-4917-b8eb-17796b5df01c,9713e655-ff33-4e64-aec5-0a6f233cc5d9,eebe042a-6a13-4133-b768-03d7e64c9369
5d218f7b-f845-4967-8468-221a1e28ce92,4,2011-11-09,Medium,8b604a0b-6dd9-4917-b8eb-17796b5df01c,036cbfcd-5bd9-40e2-9953-037f85328bbc,eebe042a-6a13-4133-b768-03d7e64c9369
045cfe26-9104-44f3-acb9-1babfa6b2e69,5,2013-07-01,Low,8b604a0b-6dd9-4917-b8eb-17796b5df01c,6d8ca64c-bced-491c-a878-3106e50a3e69,ca9f7d3b-7efb-4b94-8af6-123d843d2365
d1fe2174-1761-43c3-a6a8-262fe0350f58,6,2010-12-13,Not Specified,e41639be-d7e0-4c28-b2a7-b01ab9d5b1a7,f226bf61-fd58-4d60-95b7-ccc733226386,254f6ae9-0514-44c4-9358-31fa425339f2
d6d8f0c5-4c6a-47d4-bcf2-38c15bfe817d,7,2012-05-12,Low,e41639be-d7e0-4c28-b2a7-b01ab9d5b1a7,78a0f120-f658-4974-a34e-73e90c420729,eebe042a-6a13-4133-b768-03d7e64c9369
319886cf-9394-4432-8d1d-c7b24d0ed216,8,2011-05-26,High,46d35493-8007-4a8f-bd15-c7df0f18f43e,e5bea867-1d7b-4da4-8f88-cf20d40db732,7ba92b84-7e73-4d64-8f1d-b831c671a3fc
4d5d1a6f-e3ef-4822-b434-9453cb882f4f,9,2012-12-29,Critical,46d35493-8007-4a8f-bd15-c7df0f18f43e,f2efa736-1abc-4ab6-921a-07fa37704c1b,eebe042a-6a13-4133-b768-03d7e64c9369
c88c5ee3-90bd-4613-ae30-9f969a0f18fd,10,2012-10-30,High,e540578a-b94d-4427-a588-0e611f39d1e8,a4838690-ec0e-43d8-8da3-49c273445e09,eebe042a-6a13-4133-b768-03d7e64c9369
47ec37fc-db51-48d8-91dc-bb3485564eeb,11,2012-12-25,Medium,8b9654a2-d134-429e-adce-2d67e2d06a03,318109af-a259-43af-a2a4-ba3a909f5536,23f9b2e9-a232-44f5-a56b-5a94685c046e
95eb9bec-0445-4cf7-959f-9a37354a540d,12,2012-12-25,Medium,7e011538-b0d3-423b-8f13-254c2b10becd,f485e59d-68a6-486d-a0f6-316c7399779d,f8ac426e-bd1b-4289-af7b-ee392b687a2f
