SalesGUID,SalesID,Profit,Sales,QuantityOrdered,ProductBaseMargin,Discount,UnitPrice,OrderGUID,ProductGUID
2931800d-193c-4ca8-9801-475f896303bc,1,1.32,5.9,2,0.36,0.01,2.88,6b82c529-a2eb-4efc-81ba-6ff211f6fa13,a828de89-cc82-45d4-bf6e-a5b176032f59
91b2f311-5873-41a3-8e75-559695a6568d,2,4.56,13.01,4,0.54,0.01,2.84,5990b4b3-01f7-42e2-bfc0-9e82c7fddbee,4ae74995-1034-481b-813d-ead1c7292f94
eb8ca898-d5ae-4d65-8d46-7ba349ded4fb,3,-47.64,49.92,7,0.37,0.03,6.68,154cb7c0-b515-4b1f-86e0-aa29d1c06d16,eebe042a-6a13-4133-b768-03d7e64c9369
e0a59456-d81a-4383-8669-e403f2b9a0c1,4,1388.0523,2011.67,37,0.37,0.09,55.48,5d218f7b-f845-4967-8468-221a1e28ce92,eebe042a-6a13-4133-b768-03d7e64c9369
a5508513-fe8e-42e8-a5b7-59c93cf95249,5,1001.4453,1451.37,12,0.38,0.08,120.97,045cfe26-9104-44f3-acb9-1babfa6b2e69,ca9f7d3b-7efb-4b94-8af6-123d843d2365
359cde11-61e4-456e-8fce-ee23e83e9752,6,4390.3665,6362.85,12,0.6,0.02,500.98,d1fe2174-1761-43c3-a6a8-262fe0350f58,254f6ae9-0514-44c4-9358-31fa425339f2
e82bb794-9f17-4593-86f8-d1709fcaf662,7,-141.26,113.25,18,0.36,0.08,6.48,d6d8f0c5-4c6a-47d4-bcf2-38c15bfe817d,eebe042a-6a13-4133-b768-03d7e64c9369
26663713-e5d9-4ee4-ac34-382828f0f474,8,1045.4673,1515.17,16,0.56,0.01,90.24,319886cf-9394-4432-8d1d-c7b24d0ed216,7ba92b84-7e73-4d64-8f1d-b831c671a3fc
ed705c3f-51b4-4698-b903-940b200443fa,9,-13.86,28.61,4,0.37,0.07,6.48,4d5d1a6f-e3ef-4822-b434-9453cb882f4f,eebe042a-6a13-4133-b768-03d7e64c9369
91c5ebc7-79cf-4732-80b2-b81e8d1a19df,10,72.9928,232.95,19,0.38,0.05,12.28,c88c5ee3-90bd-4613-ae30-9f969a0f18fd,eebe042a-6a13-4133-b768-03d7e64c9369
3a1ffec6-e672-4f21-bd04-165bdb5be0bb,11,-158.74,705.47,5,0.77,0.08,140.98,47ec37fc-db51-48d8-91dc-bb3485564eeb,23f9b2e9-a232-44f5-a56b-5a94685c046e
266e81f9-82a8-4065-b32b-db98a4a0719b,12,-346.6151975,1794.27,8,0.78,0.1,286.85,95eb9bec-0445-4cf7-959f-9a37354a540d,f8ac426e-bd1b-4289-af7b-ee392b687a2f
456855f9-d06e-4b8f-a58b-bf01241f090c,13,142.7955,206.95,14,0.38,0.06,15.57,3821db5b-c4b6-4647-acd6-0350ed6417c4,bc1c3f2e-218d-4ac0-a5dd-175cb5fc121f
2dfebc97-b970-4a80-9af8-6e7af2efb20d,14,-53.8096,211.15,22,0.45,0.06,9.48,7b91a64d-9052-496a-ab27-e0e97cd54776,80b7eed7-b363-413b-8321-c4b57ac84a00
7f3c52b7-69a5-47d1-8436-5805c0f6c058,15,23.12,90.39,8,0.57,0.04,10.98,95b41e4b-556f-4f4d-8500-bc354a1e44a8,f4c0adb5-fc72-4478-a4f6-d235fa5daa65
6030f68d-e141-4400-bb07-d29f4d3e0f2b,16,803.4705,1164.45,16,0.43,0.09,78.69,df7fe0c2-c852-4ec4-8f6e-ee784adec63d,50a1588e-86bc-4b5f-b4d8-9d712d77ae57
118d3950-1058-4243-820b-c3305a0243fd,17,-44.54,29.55,4,0.37,0.01,6.48,1f344b53-14a3-4432-987b-2f1ab1d6488f,eebe042a-6a13-4133-b768-03d7e64c9369
98778e71-ead9-4d6c-b43b-317d3bfe56fa,18,-59.82,33.47,7,0.38,0.0,4.42,9cd15572-ec87-48cb-8877-aafb685448b2,bc1c3f2e-218d-4ac0-a5dd-175cb5fc121f
032fded7-0137-41d7-aabd-3452f1fe1547,19,261.8757,379.53,10,0.4,0.01,35.94,5b97cc8c-0be7-4d68-9452-ffdbd0f3ff7e,bc1c3f2e-218d-4ac0-a5dd-175cb5fc121f
e49dcc6e-a62a-4ca0-8842-597b40eb8392,20,-1.17,17.39,10,0.56,0.03,1.76,7248e033-58b1-4485-8d30-dbe21a2601db,4ae74995-1034-481b-813d-ead1c7292f94
96cbc5cb-1ebe-4b27-8f50-94cbdec87fd8,21,-24.03,19.04,3,0.36,0.04,5.98,d00e0267-01dc-4443-a97d-45e3a2750d08,eebe042a-6a13-4133-b768-03d7e64c9369
d550e0bb-48a0-40e8-aad3-22e2942d9f68,22,23.2668,33.72,4,0.42,0.0,7.59,1aef7918-51e0-449f-854f-e7101b251697,b52e5bba-866d-42fa-be23-b3d59febd151
ac727150-8bdd-43a4-bf7f-5f1a16e5063d,23,-174.2696,38.18,9,0.39,0.07,4.13,79570595-197a-43a1-90c5-69acaa7088fa,a828de89-cc82-45d4-bf6e-a5b176032f59
f6376234-f8c6-4497-bf83-f506af94f3c7,24,2.63,18.8,6,0.39,0.04,2.98,a8bce3ad-6bcc-4544-a339-5b24143a4d69,d8ac74b0-6467-45e0-83de-90b1bde6c20f
79aa84b6-9cda-408c-a3b7-5c0ba7a17ace,25,3.4595,45.6,3,0.38,0.08,14.27,0983bcb3-2adb-4930-be8d-e2bc89638bc0,ea5a0899-7c7d-4411-8b03-be9d8339e1ee
270fb571-3ba8-4d5c-baf7-c2607c0aa46b,26,-6.82,12.18,2,0.56,0.05,5.85,7147b806-7947-4d59-b4f1-b42eb89c8560,4ae74995-1034-481b-813d-ead1c7292f94
dd691fce-3fc3-4c81-ab66-a56c242edd11,27,-96.33,34.75,4,0.58,0.05,7.77,cad61851-fe15-478f-9e5d-f32a6aca97ea,7ba92b84-7e73-4d64-8f1d-b831c671a3fc
ffc5f54e-ddd7-42d7-b2fb-12989eb61b0f,28,314.4813,455.77,17,0.49,0.05,26.48,2c1bcace-1226-455c-b220-41f4c410ffdf,50a1588e-86bc-4b5f-b4d8-9d712d77ae57
02af92df-9388-41e2-8f16-53f9b2aa3a30,29,446.0781,646.49,15,0.56,0.08,42.98,401d34ec-2c71-4011-ae10-b3abe9faddb4,7ba92b84-7e73-4d64-8f1d-b831c671a3fc
d75b9aab-2d3b-4465-845d-fa23e5cd01c8,30,-17.49,65.69,13,0.37,0.08,5.0,c539db04-ec64-42d1-bd25-6f419e48885f,d8ac74b0-6467-45e0-83de-90b1bde6c20f
57aaa31f-5d61-47c5-b9bf-15e85062e250,31,126.31,2575.93,22,0.71,0.02,110.98,bb677917-503c-4d3e-a8fc-1979bc1fba97,254f6ae9-0514-44c4-9358-31fa425339f2
92c86b01-61b1-4631-b2d1-32019ec93dad,32,-114.6399,231.79,18,0.39,0.07,12.99,94df46c5-6ea6-4583-b7a0-2cb486e800c5,fde96d54-de2e-4f8d-bdf8-00923525dbd2
03fe7f2b-31d4-407d-960e-2426b36aacb6,33,-929.68,802.21,13,0.8,0.06,64.65,afb97f23-b0da-46b9-bd28-eb2903e9b434,f5a8561e-cb5c-4f5d-baf4-5820cfada1eb
79603130-c8a3-46a5-8008-387d5c885213,34,-41.82,49.61,1,0.4,0.0,30.98,d04c3ebc-04d1-4d94-92b3-b727978d98ba,eebe042a-6a13-4133-b768-03d7e64c9369
9aa2b9c5-bdca-4d58-a47b-56e2a88821e8,35,384.38,1876.69,70,0.49,0.05,26.48,d6b07de1-1ccc-44af-b90f-4e7c1f949119,50a1588e-86bc-4b5f-b4d8-9d712d77ae57
aad4b88c-2480-4c4a-bcf8-6f4408866531,36,-17.49,293.06,58,0.37,0.08,5.0,53c02d9c-8c89-423e-8229-6b34746e4559,d8ac74b0-6467-45e0-83de-90b1bde6c20f
f4962f56-9e0a-4520-9914-086c3388440e,37,-41.82,49.61,1,0.4,0.0,30.98,caf731ae-fd58-403a-86ec-1db0d70ee3f5,eebe042a-6a13-4133-b768-03d7e64c9369
93be6278-b856-4bcb-bb6f-e8040a213030,38,-6.82,54.79,9,0.56,0.05,5.85,8f3eadb6-ea14-4da6-963e-a7399535c7f1,4ae74995-1034-481b-813d-ead1c7292f94
9de9adbb-0308-4f00-84d1-712d1a2b646d,39,-96.33,156.38,18,0.58,0.05,7.77,d6c701ae-79be-4c90-a24d-7c55e5d9f30d,7ba92b84-7e73-4d64-8f1d-b831c671a3fc
94f15ba3-278d-4c6e-ae09-de5f0ad54a5f,40,461.65,2585.97,60,0.56,0.08,42.98,c85865ab-a666-4d7d-a5cc-07681f85e494,7ba92b84-7e73-4d64-8f1d-b831c671a3fc
