ShippingGUID,ShippingID,DateShipped,ShippingCost,ShipMode,AddressGUID
a70b7dce-8c66-4c6b-ae3f-dbf9461afb56,1,30/05/2012,0.5,Regular Air,7589ebad-3d13-4590-8c41-3b539607a503
469561a8-4a8d-428a-b669-0760b4a5a459,2,08/07/2010,0.93,Express Air,5b380529-aef3-48db-99f3-f75dc07ff3d3
9713e655-ff33-4e64-aec5-0a6f233cc5d9,3,28/07/2011,6.15,Express Air,5b380529-aef3-48db-99f3-f75dc07ff3d3
fc3ad86f-45c2-4169-8685-99084b1ac812,4,28/07/2011,3.6,Regular Air,5b380529-aef3-48db-99f3-f75dc07ff3d3
82631fd6-887c-4956-970f-12ca9b4fd21b,5,27/07/2011,2.5,Express Air,5b380529-aef3-48db-99f3-f75dc07ff3d3
036cbfcd-5bd9-40e2-9953-037f85328bbc,6,11/11/2011,14.3,Express Air,5b380529-aef3-48db-99f3-f75dc07ff3d3
6d8ca64c-bced-491c-a878-3106e50a3e69,7,08/07/2013,26.3,Delivery Truck,5b380529-aef3-48db-99f3-f75dc07ff3d3
f226bf61-fd58-4d60-95b7-ccc733226386,8,15/12/2010,26.0,Delivery Truck,8a330dfe-047b-4b2f-be74-9acc2f2788ef
78a0f120-f658-4974-a34e-73e90c420729,9,21/05/2012,6.81,Regular Air,8a330dfe-047b-4b2f-be74-9acc2f2788ef
e5bea867-1d7b-4da4-8f88-cf20d40db732,10,26/05/2011,0.99,Regular Air,91166e46-75a9-4810-a28e-2309f91adfe1
f2efa736-1abc-4ab6-921a-07fa37704c1b,11,31/12/2012,6.6,Regular Air,91166e46-75a9-4810-a28e-2309f91adfe1
a4838690-ec0e-43d8-8da3-49c273445e09,12,31/10/2012,4.86,Regular Air,cf09dd01-24b4-4eef-9027-db73b8f1fa07
318109af-a259-43af-a2a4-ba3a909f5536,13,26/12/2012,36.09,Delivery Truck,1dce1479-9580-4869-a1fc-3cee3f3ca7ac
f485e59d-68a6-486d-a0f6-316c7399779d,14,27/12/2012,61.76,Delivery Truck,195263d5-220d-4f3d-9793-03dae7650c45
a7a2e576-7137-4a37-80b7-145d64ec6f7c,15,05/10/2011,1.39,Regular Air,9350ac23-96a5-40a5-a088-7e13218cc1e5
